Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,20.400000,20.510000,19.990000,20.049999,19.425875,4157500
2015-01-02,20.129999,20.280001,19.809999,20.129999,19.503389,2842000
2015-01-05,20.129999,20.190001,19.700001,19.790001,19.173971,4948800
2015-01-06,19.820000,19.840000,19.170000,19.190001,18.592646,4944100
2015-01-07,19.330000,19.500000,19.080000,19.139999,18.544207,8045200
2015-01-08,19.360001,19.980000,19.350000,19.860001,19.241789,7094500
2015-01-09,19.930000,20.090000,19.660000,19.940001,19.319300,5238500
2015-01-12,19.990000,20.000000,19.510000,19.690001,19.077089,4768300
2015-01-13,19.840000,20.240000,19.520000,19.660000,19.048016,5909700
2015-01-14,19.450001,19.799999,19.400000,19.740000,19.125523,3881500
2015-01-15,19.879999,20.000000,19.590000,19.600000,18.989885,4723300
2015-01-16,19.570000,19.980000,19.510000,19.959999,19.338675,4537800
2015-01-20,20.100000,20.209999,19.770000,20.020000,19.396811,3487500
2015-01-21,19.910000,20.350000,19.770000,20.299999,19.668091,3619500
2015-01-22,20.340000,20.709999,20.129999,20.650000,20.007196,3992800
2015-01-23,20.670000,20.750000,20.500000,20.709999,20.065332,2976700
2015-01-26,20.620001,20.719999,20.490000,20.620001,19.978134,3331000
2015-01-27,20.299999,20.320000,19.590000,19.629999,19.018950,8948700
2015-01-28,19.870001,19.950001,19.299999,19.309999,18.708910,6818200
2015-01-29,19.320000,19.889999,19.230000,19.780001,19.164282,5883500
2015-01-30,19.639999,19.870001,19.170000,19.200001,18.602331,7455000
2015-02-02,19.320000,19.700001,18.940001,19.620001,19.009262,6490100
2015-02-03,19.760000,20.129999,19.660000,20.110001,19.484009,4555300
2015-02-04,20.049999,20.389999,19.990000,20.160000,19.532450,4537900
2015-02-05,20.180000,20.500000,20.160000,20.490000,19.852179,3511200
2015-02-06,20.469999,20.709999,20.309999,20.400000,19.764978,5231900
2015-02-09,20.280001,20.440001,20.150000,20.379999,19.745604,6848600
2015-02-10,20.400000,20.959999,20.309999,20.950001,20.297861,5655100
2015-02-11,21.000000,21.000000,20.670000,20.809999,20.162220,8020800
2015-02-12,22.000000,22.500000,21.870001,22.299999,21.605835,16922600
2015-02-13,22.250000,22.340000,21.910000,22.309999,21.615526,7752100
2015-02-17,22.270000,22.490000,22.129999,22.379999,21.683346,5083500
2015-02-18,22.350000,22.389999,22.080000,22.120001,21.431442,4273700
2015-02-19,22.400000,22.440001,22.080000,22.180000,21.489569,4235800
2015-02-20,22.160000,22.350000,22.000000,22.340000,21.644594,3943800
2015-02-23,22.330000,22.330000,22.049999,22.160000,21.470196,3125200
2015-02-24,22.160000,22.309999,21.959999,22.309999,21.698755,3733900
2015-02-25,22.219999,22.320000,22.040001,22.139999,21.533415,3095500
2015-02-26,22.160000,22.330000,22.020000,22.200001,21.591770,3821600
2015-02-27,22.139999,22.190001,21.980000,22.059999,21.455605,3937300
2015-03-02,22.000000,22.719999,21.969999,22.600000,21.980812,7537800
2015-03-03,22.430000,22.540001,22.110001,22.180000,21.572317,4008600
2015-03-04,22.100000,22.480000,22.010000,22.430000,21.815470,5648400
2015-03-05,22.430000,22.900000,22.370001,22.860001,22.233688,8076400
2015-03-06,22.730000,22.840000,22.530001,22.549999,21.932182,6434800
2015-03-09,22.559999,22.780001,22.510000,22.610001,21.990536,5559700
2015-03-10,22.709999,23.150000,22.670000,23.000000,22.369854,13145300
2015-03-11,23.000000,23.299999,22.820000,22.879999,22.253139,6553000
2015-03-12,22.660000,22.830000,22.240000,22.670000,22.048893,10174300
2015-03-13,22.559999,22.760000,22.250000,22.700001,22.078072,8982200
2015-03-16,22.879999,23.110001,22.730000,22.969999,22.340673,5923900
2015-03-17,22.920000,23.260000,22.760000,23.250000,22.613001,7497500
2015-03-18,23.250000,23.370001,22.660000,22.870001,22.243416,10337600
2015-03-19,22.950001,23.299999,22.780001,23.219999,22.583826,7768900
2015-03-20,23.410000,23.610001,23.190001,23.469999,22.826975,11552100
2015-03-23,22.770000,23.070000,22.700001,22.709999,22.087795,10595700
2015-03-24,22.639999,22.799999,22.299999,22.400000,21.786291,8262000
2015-03-25,22.389999,22.389999,20.969999,21.040001,20.463549,13563800
2015-03-26,20.610001,21.059999,20.459999,20.969999,20.395470,7798000
2015-03-27,21.090000,21.459999,20.750000,21.379999,20.794237,7940200
2015-03-30,21.480000,21.580000,21.200001,21.469999,20.881769,6331300
2015-03-31,21.410000,21.430000,20.910000,20.930000,20.356564,8931900
2015-04-01,21.010000,21.080000,20.650000,21.010000,20.434372,8228300
2015-04-02,21.129999,21.190001,20.879999,21.059999,20.483004,4805100
2015-04-06,20.969999,21.740000,20.750000,21.670000,21.076292,12896600
2015-04-07,21.670000,22.100000,21.549999,21.860001,21.261084,10349100
2015-04-08,21.879999,22.100000,21.670000,22.020000,21.416702,9160800
2015-04-09,21.850000,22.600000,21.840000,22.530001,21.912727,9485800
2015-04-10,22.549999,22.770000,22.469999,22.760000,22.136431,6468200
2015-04-13,22.709999,22.840000,22.450001,22.549999,21.932182,5918100
2015-04-14,22.459999,22.549999,22.139999,22.360001,21.747387,5441000
2015-04-15,22.420000,22.799999,22.309999,22.629999,22.009985,6089000
2015-04-16,22.500000,22.690001,22.330000,22.490000,21.873825,3882100
2015-04-17,22.020000,22.420000,22.010000,22.200001,21.591770,7340900
2015-04-20,22.299999,22.440001,22.049999,22.090000,21.484783,5739500
2015-04-21,22.360001,22.360001,21.950001,22.059999,21.455605,5761400
2015-04-22,22.190001,22.340000,21.850000,22.309999,21.698755,5185500
2015-04-23,21.900000,22.430000,21.650000,22.219999,21.611223,6484500
2015-04-24,22.209999,22.219999,21.780001,22.030001,21.426426,6024000
2015-04-27,22.100000,22.590000,21.910000,22.200001,21.591770,6211400
2015-04-28,22.160000,22.389999,21.950001,22.309999,21.698755,5862100
2015-04-29,22.150000,22.370001,22.049999,22.139999,21.533415,4878900
2015-04-30,22.030001,22.309999,21.980000,22.200001,21.591770,5471100
2015-05-01,22.379999,22.820000,22.280001,22.750000,22.126701,6424200
2015-05-04,22.730000,22.879999,22.540001,22.610001,21.990536,5018000
2015-05-05,22.530001,22.559999,21.930000,22.030001,21.426426,7323200
2015-05-06,22.150000,22.360001,21.809999,22.100000,21.494511,7912100
2015-05-07,22.010000,22.559999,21.940001,22.490000,21.873825,13364100
2015-05-08,21.010000,21.840000,20.490000,20.830000,20.259302,28663800
2015-05-11,20.540001,20.840000,20.379999,20.629999,20.064783,13603600
2015-05-12,20.480000,21.000000,20.469999,20.830000,20.259302,9720000
2015-05-13,20.980000,21.139999,20.750000,20.950001,20.376019,7713100
2015-05-14,21.010000,21.400000,20.959999,21.290001,20.706707,7326300
2015-05-15,21.379999,21.480000,21.170000,21.299999,20.716427,5395600
2015-05-18,21.250000,21.400000,21.150000,21.270000,20.687250,8121800
2015-05-19,21.200001,21.270000,21.000000,21.040001,20.557301,6345200
2015-05-20,21.049999,21.299999,21.020000,21.040001,20.557301,4920600
2015-05-21,21.049999,21.139999,20.870001,20.889999,20.410744,5992300
2015-05-22,20.940001,21.020000,20.809999,20.860001,20.381433,5314800
2015-05-26,20.760000,20.900000,20.570000,20.730000,20.254412,6493300
2015-05-27,20.870001,21.940001,20.799999,21.840000,21.338945,10808300
2015-05-28,21.840000,22.209999,21.799999,22.139999,21.632065,8191400
2015-05-29,22.139999,22.280001,22.100000,22.129999,21.622293,8324900
2015-06-01,22.270000,22.600000,22.129999,22.379999,21.866556,9316500
2015-06-02,22.240000,22.360001,21.920000,21.940001,21.436657,5544000
2015-06-03,22.000000,22.170000,21.660000,21.700001,21.202164,6269700
2015-06-04,21.570000,22.160000,21.570000,22.090000,21.583212,8092800
2015-06-05,22.020000,22.360001,21.790001,22.260000,21.749308,7833000
2015-06-08,22.190001,22.340000,21.500000,21.750000,21.251011,8549500
2015-06-09,21.770000,22.020000,21.730000,21.860001,21.358490,6422200
2015-06-10,21.600000,21.740000,21.350000,21.469999,20.977436,13236500
2015-06-11,21.469999,21.850000,21.469999,21.700001,21.202164,7076300
2015-06-12,21.559999,21.690001,21.059999,21.110001,20.625694,8093200
2015-06-15,21.000000,21.170000,20.840000,21.070000,20.586613,7663700
2015-06-16,21.030001,21.360001,20.820000,21.330000,20.840647,6422300
2015-06-17,21.320000,21.700001,21.270000,21.580000,21.084909,5838600
2015-06-18,21.760000,22.080000,21.700001,21.940001,21.436657,7485100
2015-06-19,21.940001,22.120001,21.670000,21.870001,21.368259,8891400
2015-06-22,21.910000,22.030001,21.450001,21.780001,21.280325,12855900
2015-06-23,21.820000,21.990000,21.049999,21.219999,20.733170,10351600
2015-06-24,21.190001,21.299999,20.910000,21.010000,20.527990,6334200
2015-06-25,21.010000,21.299999,21.010000,21.170000,20.684317,8761500
2015-06-26,21.000000,21.020000,20.650000,20.740000,20.264185,10532400
2015-06-29,20.500000,20.709999,20.090000,20.120001,19.658407,9793100
2015-06-30,20.240000,20.330000,19.969999,20.110001,19.648638,7897900
2015-07-01,20.610001,20.900000,20.219999,20.400000,19.931984,7572300
2015-07-02,20.389999,20.549999,20.290001,20.420000,19.951523,3644100
2015-07-06,20.250000,20.530001,20.020000,20.170000,19.707260,5369400
2015-07-07,20.049999,20.129999,19.160000,19.790001,19.335976,14856300
2015-07-08,19.680000,19.799999,19.490000,19.650000,19.199192,8312300
2015-07-09,19.959999,20.049999,19.290001,19.410000,18.964697,8939700
2015-07-10,19.660000,19.930000,19.610001,19.750000,19.296898,5417700
2015-07-13,19.950001,19.990000,19.750000,19.879999,19.423914,5311800
