Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,1215.569946,1221.439941,1204.689941,1204.699951,1204.699951,26060700
2015-01-02,1209.979980,1212.800049,1189.160034,1198.800049,1198.800049,27087000
2015-01-05,1192.359985,1194.219971,1177.459961,1181.349976,1181.349976,37991200
2015-01-06,1183.469971,1183.910034,1153.400024,1161.310059,1161.310059,44601100
2015-01-07,1169.300049,1175.979980,1164.949951,1175.969971,1175.969971,38054800
2015-01-08,1184.170044,1196.130005,1184.079956,1196.130005,1196.130005,39340100
2015-01-09,1196.010010,1196.060059,1183.089966,1185.680054,1185.680054,33641400
2015-01-12,1186.939941,1187.630005,1173.219971,1180.089966,1180.089966,34564600
2015-01-13,1187.520020,1200.520020,1168.410034,1180.640015,1180.640015,41073000
2015-01-14,1169.750000,1177.979980,1165.060059,1177.060059,1177.060059,43786800
2015-01-15,1179.719971,1180.869995,1154.640015,1154.709961,1154.709961,42767200
2015-01-16,1151.339966,1177.189941,1151.300049,1176.650024,1176.650024,40564100
2015-01-20,1179.079956,1179.140015,1161.329956,1170.250000,1170.250000,39443400
2015-01-21,1167.520020,1174.949951,1162.310059,1166.250000,1166.250000,37300700
2015-01-22,1172.500000,1190.369995,1161.300049,1190.369995,1190.369995,41760500
2015-01-23,1190.260010,1194.150024,1185.500000,1188.930054,1188.930054,35735600
2015-01-26,1188.930054,1200.739990,1181.770020,1200.739990,1200.739990,34657600
2015-01-27,1190.339966,1199.770020,1186.160034,1194.660034,1194.660034,33298100
2015-01-28,1200.680054,1201.239990,1172.729980,1175.119995,1175.119995,40675300
2015-01-29,1177.150024,1190.189941,1170.140015,1190.180054,1190.180054,41271400
2015-01-30,1183.339966,1186.040039,1164.900024,1165.390015,1165.390015,45386500
2015-02-02,1168.579956,1175.560059,1153.790039,1175.510010,1175.510010,40083300
2015-02-03,1180.079956,1197.390015,1180.060059,1196.989990,1196.989990,46159000
2015-02-04,1191.560059,1198.949951,1189.339966,1191.439941,1191.439941,41419200
2015-02-05,1195.500000,1209.900024,1195.410034,1208.709961,1208.709961,38219900
2015-02-06,1209.739990,1214.709961,1202.160034,1205.459961,1205.459961,42329700
2015-02-09,1202.260010,1208.280029,1195.380005,1195.829956,1195.829956,35495400
2015-02-10,1202.609985,1205.119995,1190.270020,1203.180054,1203.180054,36698500
2015-02-11,1201.250000,1204.439941,1195.280029,1201.550049,1201.550049,35968600
