1035294312672714753,2018-08-31 00:32:53,30,,# # # # # #,Microsoft Democratizing Artificial Intelligence (video) https://www.domainmondo.com/2018/08/microsoft-democratizing-artificial.html … $ MSFT # investors # technology # Microsoft # artificialintelligence # machinelearning # AIpic.twitter.com/glOXdjh4bJ
1035278760180772864,2018-08-30 23:31:05,6,@ @ @ @ @ @ @ @ @ @,# # # # # # # # #,powerbi via NodeXL http://bit.ly/2LI0EOm @ gamergeeknews @ mspowerbi @ powerbi @ rad_reza @ poweraccesssql @ cwebb_bi @ csharpcorner @ waynesadin @ dhruvinshah16 @ diverdown1964 Top hashtags: # powerbi # python # dax # azure # microsoft # data # pbiworldtour # apis # ide
1035269486545268737,2018-08-30 22:54:14,5,@ @ @ @ @,# # # # # #,So proud of all the @ CampbelltownEPS students for working on Part 4 of the ongoing Njulgang Digital Custodians Pilot Program. # aboriginaleducation # microsoft # surfacepros # aboriginalart # teambuilding # MixedReality @ CampbelltownEPS @ KimPearce3 @ cook_janene @ nat_claussenpic.twitter.com/XSdUbtUg3w
1035267178101125120,2018-08-30 22:45:04,13,,# #,Robotic Process Automation (RPA): The # Microsoft channel adapts to market growth http://j.mp/2wrUKeO # RPApic.twitter.com/VkHycA8mie
1035248410528342016,2018-08-30 21:30:29,40,@,# # #,"The Black Spirit is ready for # microsoft @ ID_Xbox # prepax2018! If you're coming today, make sure to come introduce yourselves and get a hands-on with our latest # XboxOneX build!pic.twitter.com/dDocrusjhx"
1035236666452013056,2018-08-30 20:43:49,13,,#,Who's the talent behind our efforts to shape the rhythm and emotional texture of the UX across # Microsoft products? Meet Matthew Bennett https://news.microsoft.com/stories/people/matthew-bennett.html …
1035235171749036032,2018-08-30 20:37:53,10,,# # #,New Pen Test Tool Tricks Targets with Microsoft WCX Files https://ubm.io/2wt0FRH # PenTest # Microsoft # WCX
1035231689818222592,2018-08-30 20:24:03,11,@ @ @ @ @,# # # # # # # # #,# IoMT expert @ IrmaRaste asks # Azure leader @ davidhoulding What are the advantages & disadvantages of # Microsoft being in the # healthcare space? Watch # AskTheCEO timestamp 39:52 # AI # ML # Blockchain # Cybersecurity https://buff.ly/2LsfSXU @ eViRaHealth @ evankirstel @ dez_blanchfieldpic.twitter.com/tfJLshweK9
1035228455737028608,2018-08-30 20:11:12,4,@ @,# # #,"The Classroom of today is learning beyond the four walls of the room from experts in the field. Wow these students can code...animating those sprites! # Microsoft # TEALS # WeAreClintISD @ CECAPatriots @ CECABAILONpic.twitter.com/eWKzfuHuG1 – bei Clint, TX"
1035221864434548741,2018-08-30 19:45:00,11,,# # # # # # # # # # # # # # # # # # # # # # # # # #,17 Best # IT # Training & # Certification Courses https://goo.gl/vkC7hz # AI # Analytics # IoT # BI # Amazon # AWS # tech # CCNA # Microsoft # Azure # Networking # Security # bitcoin # Cloud # Blockchain # DataScience # BigData # Career # OnlineLearning # technology # eLearning # Cisco # SalesForce
1035216919484280832,2018-08-30 19:25:21,10,@ @ @ @ @ @ @,# #,# Microsoft # Phishing with SSL - hxxps://i3k-defence[.]com/ and redirect to https://login.microsoftonline.com/common/oauth2 cc: @ PhishingAi @ neonprimetime @ phishingalert @ YouMayBeHacked @ illegalFawn @ Techhelplistcom @ phish_totalpic.twitter.com/ghVEtVbfpl
1035213065485275136,2018-08-30 19:10:02,10,@ @ @ @ @,# #,"We updated our list of must-follow # Microsoft, # Windows, gaming, and tech influencers with a bunch of worthy folks. Hey @ Jason_Rubin, @ kentbye, @ jackfrags, @ ID_AA_Carmack, and @ danayoub! Congrats on making our list!https://www.windowscentral.com/microsoft-windows-xbox-influencers-2018?utm_source=wc_tw&utm_medium=tw_card&utm_content=54770&utm_campaign=social …"
1035172164511690755,2018-08-30 16:27:31,4,@ @,# #740 # # # #,Wondering where you can find @ ChainsawGames up coming title @ aftercharge game at # PaxWest ? Have no fear we have you covered! Level 4 Booth #740 Indie MegaBooth just across the way from # Mixer # Microsoft # Lenovo and # AMDpic.twitter.com/FJzP1PbOEp
1035147659688988677,2018-08-30 14:50:08,13,@,# # # # # # # #,$ NBDR ground breaking # blockchain # Technology investment. Still in pennyland. Could you imagine getting in # amazon # Facebook # Microsoft # IBM in the beginning? Just check the company out and see all the amazing people on their board. # Fintech # IOT Take a look @ LannisterNBDRhttps://twitter.com/NeilCHughes/status/1035111928165793792 …
1035142907630678016,2018-08-30 14:31:15,19,@ @ @ @ @,# # # # # # # # #,# AskTheCEO! A great series to follow This week hear about the amazing things people are doing with # Microsoft # Azure in # Healthcare? @ davidhoulding # IoMT # AI # ML # Blockchain # Cybersecurity https://buff.ly/2LsfSXU @ IrmaRaste @ evankirstel @ dez_blanchfield @ eViRaHealthpic.twitter.com/3fOhVdiMwm
1035126659106660352,2018-08-30 13:26:41,5,,# # # # # # # # # # # # # # # # # # # # # # # # #,Gwent's Single # Player # Campaign Will Now Be a Standalone # Game # CDProjektRed # CDPR # Gwent # News # Esport # Esports # indiegamedev # indiegames # developer # Pixels # Voxel # Unity # Unreal # RPG # Thronebreaker # gameplay # PC # PS4 # XboxOne # Xbox # Sony # Microsoft http://bit.ly/2NAhmRQ pic.twitter.com/WneZgAD3cP
1035123301130141696,2018-08-30 13:13:21,8,,# # # #,A recent study by # Microsoft and Royal Institute of British # Architects found a whopping 87% of architecture practices in the UK are currently in the midst of # DigitalTransformation. Ben Highfield talks about the findings. # TechNativeTVpic.twitter.com/vGJYO7oU1k
