date,high,low,close
2015-09-04,634.500000,626.500000,628.960022
2015-09-08,645.039978,632.900024,643.880005
2015-09-09,657.359985,640.900024,643.409973
2015-09-10,654.900024,641.700012,651.080017
2015-09-11,655.309998,647.409973,655.299988
2015-09-14,655.919983,649.500000,652.469971
2015-09-15,668.849976,653.340027,665.070007
2015-09-16,668.070007,662.200012,665.520020
2015-09-17,681.989990,665.000000,671.669983
2015-09-18,669.840027,660.030029,660.919983
2015-09-21,669.000000,658.000000,666.979980
2015-09-22,658.820007,645.030029,653.200012
2015-09-23,660.280029,650.729980,653.289978
2015-09-24,656.770020,642.169983,654.909973
2015-09-25,658.580017,639.659973,640.150024
2015-09-28,642.849976,617.840027,624.250000
2015-09-29,634.679993,618.030029,622.609985
2015-09-30,639.309998,629.150024,638.369995
2015-10-01,643.840027,631.119995,642.000000
2015-10-02,657.000000,633.500000,656.989990
2015-10-05,673.030029,655.869995,671.679993
2015-10-06,678.799988,663.080017,671.640015
2015-10-07,678.739990,658.109985,670.000000
2015-10-08,671.890015,654.489990,667.000000
2015-10-09,674.090027,662.359985,671.239990
2015-10-12,677.979980,667.239990,676.429993
2015-10-13,688.460022,673.109985,683.169983
2015-10-14,690.039978,678.900024,680.409973
2015-10-15,694.159973,684.390015,693.020020
2015-10-16,696.219971,689.099976,695.320007
2015-10-19,700.239990,692.210022,699.950012
2015-10-20,698.000000,673.679993,680.000000
2015-10-21,684.900024,670.700012,671.799988
2015-10-22,688.049988,671.700012,681.140015
2015-10-23,752.500000,717.940002,719.330017
2015-10-26,734.950012,720.020020,731.119995
2015-10-27,735.960022,724.140015,732.820007
2015-10-28,737.369995,727.270020,736.919983
2015-10-29,746.789978,735.159973,744.849976
2015-10-30,746.309998,736.530029,737.390015
2015-11-02,748.179993,731.450012,747.739990
2015-11-03,751.700012,741.159973,748.820007
2015-11-04,759.900024,749.200012,755.309998
2015-11-05,766.349976,757.469971,760.669983
2015-11-06,763.020020,755.030029,761.599976
2015-11-09,763.299988,749.109985,754.770020
2015-11-10,760.599976,748.409973,758.260010
2015-11-11,769.080017,759.750000,765.250000
2015-11-12,765.799988,755.859985,756.530029
2015-11-13,755.330017,739.469971,740.070007
2015-11-16,751.710022,734.330017,750.419983
2015-11-17,754.950012,744.049988,745.979980
2015-11-18,761.099976,747.390015,760.010010
2015-11-19,763.229980,757.229980,759.940002
2015-11-20,779.320007,764.099976,777.000000
2015-11-23,782.900024,773.510010,776.700012
2015-11-24,775.989990,758.109985,769.630005
2015-11-25,773.000000,766.530029,769.260010
2015-11-27,774.000000,767.000000,771.969971
2015-11-30,775.030029,761.119995,762.849976
2015-12-01,785.000000,765.950012,783.789978
2015-12-02,793.049988,776.429993,777.849976
2015-12-03,784.479980,762.450012,768.200012
2015-12-04,782.419983,765.510010,779.210022
2015-12-07,781.000000,766.719971,772.989990
2015-12-08,778.650024,762.520020,775.140015
2015-12-09,776.090027,752.010010,762.549988
2015-12-10,766.070007,755.000000,760.039978
2015-12-11,757.440002,748.650024,750.419983
2015-12-14,764.150024,736.260010,762.539978
2015-12-15,774.750000,758.000000,760.090027
2015-12-16,781.500000,757.049988,776.590027
2015-12-17,781.590027,769.299988,769.830017
2015-12-18,774.140015,756.590027,756.849976
2015-12-21,766.349976,754.150024,760.799988
2015-12-22,770.340027,761.200012,767.130005
2015-12-23,771.900024,757.650024,768.510010
2015-12-24,769.200012,764.390015,765.840027
